DEBUG : 2021-07-02 18:25:26,773 I2s loop starts...
DEBUG : 2021-07-02 18:25:26,777 I2s objects created...
INFO : 2021-07-02 18:25:27,846 (0.0, 2400.0)
INFO : 2021-07-02 18:25:29,917 (53.9, 2484.0)
INFO : 2021-07-02 18:25:31,987 (56.21, 2473.0)
INFO : 2021-07-02 18:25:34,061 (54.12, 2465.0)
INFO : 2021-07-02 18:25:36,131 (57.42, 2458.0)
INFO : 2021-07-02 18:25:38,202 (53.9, 2456.0)
INFO : 2021-07-02 18:25:40,272 (56.12, 2459.0)
INFO : 2021-07-02 18:25:42,342 (58.19, 2453.0)
INFO : 2021-07-02 18:25:44,412 (59.43, 2457.0)
INFO : 2021-07-02 18:25:46,483 (54.1, 2452.0)
INFO : 2021-07-02 18:25:48,553 (58.17, 2515.0)
INFO : 2021-07-02 18:25:50,623 (53.34, 2443.0)
INFO : 2021-07-02 18:25:52,698 (53.1, 2443.0)
INFO : 2021-07-02 18:25:54,766 (54.29, 2449.0)
INFO : 2021-07-02 18:25:56,834 (53.3, 2446.0)
INFO : 2021-07-02 18:25:58,902 (55.38, 2449.0)
INFO : 2021-07-02 18:26:00,972 (55.66, 2451.0)
INFO : 2021-07-02 18:26:03,043 (55.53, 2449.0)
INFO : 2021-07-02 18:26:05,113 (54.43, 2445.0)
INFO : 2021-07-02 18:26:07,183 (54.65, 2448.0)
INFO : 2021-07-02 18:26:09,253 (54.18, 2446.0)
INFO : 2021-07-02 18:26:11,324 (53.99, 2446.0)
INFO : 2021-07-02 18:26:13,394 (53.3, 2438.0)
INFO : 2021-07-02 18:26:15,464 (54.35, 2444.0)
INFO : 2021-07-02 18:26:17,541 (54.59, 2445.0)
INFO : 2021-07-02 18:26:19,610 (54.16, 2446.0)
INFO : 2021-07-02 18:26:21,683 (54.74, 2446.0)
INFO : 2021-07-02 18:26:23,753 (54.63, 2444.0)
INFO : 2021-07-02 18:26:25,824 (54.36, 2443.0)
INFO : 2021-07-02 18:26:27,894 (54.6, 2444.0)
INFO : 2021-07-02 18:26:29,964 (53.59, 2442.0)
INFO : 2021-07-02 18:26:32,033 (56.33, 2447.0)
INFO : 2021-07-02 18:26:34,099 (55.23, 2444.0)
INFO : 2021-07-02 18:26:36,168 (53.82, 2442.0)
INFO : 2021-07-02 18:26:38,236 (60.47, 2440.0)
INFO : 2021-07-02 18:26:40,311 (55.51, 2439.0)
INFO : 2021-07-02 18:26:42,380 (57.12, 2439.0)
INFO : 2021-07-02 18:26:44,450 (54.87, 2443.0)
INFO : 2021-07-02 18:26:46,523 (61.66, 2437.0)
INFO : 2021-07-02 18:26:48,593 (55.48, 2440.0)
INFO : 2021-07-02 18:26:50,664 (60.2, 2445.0)
INFO : 2021-07-02 18:26:52,734 (57.07, 2443.0)
INFO : 2021-07-02 18:26:54,802 (67.04, 2445.0)
INFO : 2021-07-02 18:26:56,872 (59.53, 2453.0)
INFO : 2021-07-02 18:26:58,942 (61.81, 2443.0)
INFO : 2021-07-02 18:27:01,024 (64.21, 2436.0)
INFO : 2021-07-02 18:27:03,104 (65.37, 2443.0)
